attribute_name,transformed_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,match_type,matched_to_term,term_or_lo,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words
BuildingSync,Building Sync,66244,BuildingSync,,,,,,,"Words: Term, Unmatched",Building,List-Option,https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7,,,Sync
Programs,Assessment Program,66245,BuildingSync.Programs,ad6bed68-892c-4078-870e-958b41953f8d,Assessment Program,Premises,"Program which issues energy labels, ratings, or sustainability certifications.",https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d,1.0,Term-to-Term Match,,,,,,
Program,Assessment Program,66246,BuildingSync.Programs.Program,ad6bed68-892c-4078-870e-958b41953f8d,Assessment Program,Premises,"Program which issues energy labels, ratings, or sustainability certifications.",https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d,1.0,Term-to-Term Match,,,,,,
ProgramDate,Assessment Program Date,66247,BuildingSync.Programs.Program.ProgramDate,,,,,,,Words: all Term,"Assessment Program,  Date","Term,  Term","https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d, https://bedes.lbl.gov/node/b2a9970d-75bc-4e60-a295-a1f33e2d5dae",,,
ProgramFundingSource,Assessment Program Funding Source,66248,BuildingSync.Programs.Program.ProgramFundingSource,,,,,,,Words: all Term,"Assessment Program,  Funding Source","Term,  Term","https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d, https://bedes.lbl.gov/node/df6b02d4-7642-4209-a9cd-680756a05d60",,,
ProgramClassification,Assessment Program Classification,66249,BuildingSync.Programs.Program.ProgramClassification,,,,,,,"Words: Term, Word",Assessment Program,Term,https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d,Classification,https://bedes.lbl.gov/node/0698bc5a-c677-4937-a364-0c7f2047631f,
Facilities,Facilities,66250,BuildingSync.Facilities,,,,,,,Words: all Word,,,,Facilities,https://bedes.lbl.gov/node/b6fca2b4-5856-452a-9198-1a0455dd73f0,
Facility,Facility,66251,BuildingSync.Facilities.Facility,,,,,,,Words: all Word,,,,Facility,https://bedes.lbl.gov/node/f1573c10-fc34-4e6c-9b65-4766bdeedb88,
Sites,Sites,66252,BuildingSync.Facilities.Facility.Sites,,,,,,,Words: all Term,Sites,List-Option,https://bedes.lbl.gov/node/14a1960d-aa62-412e-ab5e-4431a319d1be,,,
Site,Site,66253,BuildingSync.Facilities.Facility.Sites.Site,9903ed36-9213-4446-b9af-3f165cfed87c,Site,,Site refers to the land on which the premises is built on.,https://bedes.lbl.gov/node/9903ed36-9213-4446-b9af-3f165cfed87c,1.0,Term-to-List-Option Match,,,,,,
Buildings,Buildings,66254,BuildingSync.Facilities.Facility.Sites.Site.Buildings,,,,,,,Words: all Term,Buildings,List-Option,https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7,,,
Building,Building,66255,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building,ee24930d-e880-4212-b3f7-ac8f511111d4,Building,,"A building is a single structure wholly or partially enclosed within exterior walls, or within exterior and abutment walls (party walls), and a roof, affording shelter to persons, animals, or property. A building can be two or more units held in the condominium form of ownership that are governed by the same board of managers.",https://bedes.lbl.gov/node/ee24930d-e880-4212-b3f7-ac8f511111d4,1.0,Term-to-List-Option Match,,,,,,
BuildingClassification,Building Classification,66256,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.BuildingClassification,,,,,,,"Words: Term, Word",Building,List-Option,https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7,Classification,https://bedes.lbl.gov/node/0698bc5a-c677-4937-a364-0c7f2047631f,
MultiTenant,Multi Tenant,66257,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.MultiTenant,,,,,,,"Words: Term, Word",Tenant,List-Option,https://bedes.lbl.gov/node/c9d6ba64-e009-422f-b307-0b06431946aa,Multi,https://bedes.lbl.gov/node/19bfcc84-3ccb-4a56-8d90-3ad1b12d67fa,
NAICSCode,NAICS Code,66258,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.NAICSCode,92597db5-170e-40a8-94d3-58c4fec2e147,NAICS Code,Premises,North American Industry Classification System code.,https://bedes.lbl.gov/node/92597db5-170e-40a8-94d3-58c4fec2e147,1.0,Term-to-Term Match,,,,,,
PubliclySubsidized,Public Subsidized,66259,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PubliclySubsidized,,,,,,,Words: all Word,,,,"Public,  Subsidized","https://bedes.lbl.gov/node/b24563d1-03b2-4cfb-97e3-bcfc53eb97a3, https://bedes.lbl.gov/node/a76d67f9-eb41-43e0-ac7a-71bb87397653",
FederalBuilding,Federal Building,66260,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.FederalBuilding,,,,,,,"Words: Term, Word",Building,List-Option,https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7,Federal,https://bedes.lbl.gov/node/83a7940f-046b-4b7a-b4f4-382e156c0d9e,
Agency,Agency,66261,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.FederalBuilding.Agency,28d8d9dd-4448-4493-902f-9cf1d191428d,Agency,,"Agency such as the Federal agency, required to designate a facility as a federal property in Portfolio Manager.",https://bedes.lbl.gov/node/28d8d9dd-4448-4493-902f-9cf1d191428d,1.0,Term-to-List-Option Match,,,,,,
DepartmentRegion,Department Region,66262,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.FederalBuilding.DepartmentRegion,,,,,,,"Words: Term, Word",Department,List-Option,https://bedes.lbl.gov/node/2f05ae58-2f06-46cd-8af5-c9e0029b094e,Region,https://bedes.lbl.gov/node/1d181fae-0231-46c8-a129-6f33e94ea243,
NumberOfBusinesses,Number Of Business,66263,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.NumberOfBusinesses,,,,,,,"Words: Term, Word",Business,List-Option,https://bedes.lbl.gov/node/253d99c5-b550-4126-92cd-65a2aa99f49a,"Number,  Of","https://bedes.lbl.gov/node/a2330c7a-2740-43c2-8296-5a02c610bd64, https://bedes.lbl.gov/node/3d8f4d75-8578-46ef-8d4c-e94b00be54fa",
ConditionedFloorsAboveGrade,Conditioned Floors Above Grade,66264,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.ConditionedFloorsAboveGrade,,,,,,,Words: all Term,"Above Grade,  Conditioned,  Floors","List-Option,  List-Option,  List-Option","https://bedes.lbl.gov/node/f69a78f4-a81c-4673-9bd8-d9cedab55d49, https://bedes.lbl.gov/node/925008ac-90f0-4fc5-9627-d44dc8e91246, https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56",,,
ConditionedFloorsBelowGrade,Conditioned Floors Below Grade,66265,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.ConditionedFloorsBelowGrade,,,,,,,Words: all Term,"Below Grade,  Conditioned,  Floors","List-Option,  List-Option,  List-Option","https://bedes.lbl.gov/node/38a85360-2110-4b8d-a269-9086cdc9ae3a, https://bedes.lbl.gov/node/925008ac-90f0-4fc5-9627-d44dc8e91246, https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56",,,
UnconditionedFloorsAboveGrade,Unconditioned Floors Above Grade,66266,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.UnconditionedFloorsAboveGrade,,,,,,,Words: all Term,"Above Grade,  Unconditioned,  Floors","List-Option,  List-Option,  List-Option","https://bedes.lbl.gov/node/f69a78f4-a81c-4673-9bd8-d9cedab55d49, https://bedes.lbl.gov/node/9de91345-4f35-4334-ba1b-4b954e6d197c, https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56",,,
UnconditionedFloorsBelowGrade,Unconditioned Floors Below Grade,66267,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.UnconditionedFloorsBelowGrade,,,,,,,Words: all Term,"Below Grade,  Unconditioned,  Floors","List-Option,  List-Option,  List-Option","https://bedes.lbl.gov/node/38a85360-2110-4b8d-a269-9086cdc9ae3a, https://bedes.lbl.gov/node/9de91345-4f35-4334-ba1b-4b954e6d197c, https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56",,,
HistoricalLandmark,Historical Landmark,66268,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.HistoricalLandmark,,,,,,,"Words: Word, Unmatched",,,,Historical,https://bedes.lbl.gov/node/84b970ab-defb-45f4-9475-3bde4e1fa14c,Landmark
AspectRatio,Aspect Ratio,66269,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.AspectRatio,a5be89a5-247c-49cf-8a37-c0ce3cbdc67d,Aspect Ratio,Global Terms,"The ratio of width to length, of a premises",https://bedes.lbl.gov/node/a5be89a5-247c-49cf-8a37-c0ce3cbdc67d,1.0,Term-to-Term Match,,,,,,
Perimeter,Perimeter,66270,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Perimeter,5500e473-1357-4674-8677-60c490aee209,Perimeter,Global Terms,Length of a line forming the boundary around the premises,https://bedes.lbl.gov/node/5500e473-1357-4674-8677-60c490aee209,1.0,Term-to-Term Match,,,,,,
TotalExteriorAboveGradeWallArea,Total Exterior Above Grade Wall Area,66271,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.TotalExteriorAboveGradeWallArea,,,,,,,Words: all Term,"Above Grade,  Total,  Exterior,  Wall,  Area","List-Option,  List-Option,  List-Option,  List-Option,  Term","https://bedes.lbl.gov/node/f69a78f4-a81c-4673-9bd8-d9cedab55d49, https://bedes.lbl.gov/node/552a462b-4bd7-465a-94fe-ab161973dc20, https://bedes.lbl.gov/node/4c4b6f76-164d-43ff-9b15-593283074f6c, https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",,,
TotalExteriorBelowGradeWallArea,Total Exterior Below Grade Wall Area,66272,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.TotalExteriorBelowGradeWallArea,,,,,,,Words: all Term,"Below Grade,  Total,  Exterior,  Wall,  Area","List-Option,  List-Option,  List-Option,  List-Option,  Term","https://bedes.lbl.gov/node/38a85360-2110-4b8d-a269-9086cdc9ae3a, https://bedes.lbl.gov/node/552a462b-4bd7-465a-94fe-ab161973dc20, https://bedes.lbl.gov/node/4c4b6f76-164d-43ff-9b15-593283074f6c, https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",,,
TotalCommonConditionedAboveGradeWallArea,Total Common Conditioned Above Grade Wall Area,66273,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.TotalCommonConditionedAboveGradeWallArea,,,,,,,Words: all Term,"Above Grade,  Total,  Common,  Conditioned,  Wall,  Area","List-Option,  List-Option,  List-Option,  List-Option,  List-Option,  Term","https://bedes.lbl.gov/node/f69a78f4-a81c-4673-9bd8-d9cedab55d49, https://bedes.lbl.gov/node/552a462b-4bd7-465a-94fe-ab161973dc20, https://bedes.lbl.gov/node/2803abed-f5ef-4d79-a8e6-0d550cdf0646, https://bedes.lbl.gov/node/925008ac-90f0-4fc5-9627-d44dc8e91246, https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",,,
OverallWindowToWallRatio,Overall Window To Wall Ratio,66274,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.OverallWindowToWallRatio,,,,,,,"Words: Term, Unmatched",Window To Wall Ratio,Term,https://bedes.lbl.gov/node/386c6359-a381-4dbf-b2e0-c72069f7843c,,,Overall
OverallDoorToWallRatio,Overall Door To Wall Ratio,66275,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.OverallDoorToWallRatio,,,,,,,"Words: Term, Word, Unmatched","Door,  Wall","List-Option,  List-Option","https://bedes.lbl.gov/node/30a439aa-8099-4320-8cb6-5c490d09204d, https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd","To,  Ratio","https://bedes.lbl.gov/node/d37a9012-13cb-4cf5-8a8f-77d7f924643e, https://bedes.lbl.gov/node/386c6359-a381-4dbf-b2e0-c72069f7843c",Overall
HeightDistribution,Height Distribution,66276,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.HeightDistribution,c819129f-1853-41e3-8373-6981f3dc7a88,Height Distribution,Premises,Description of height variations in the premises.,https://bedes.lbl.gov/node/c819129f-1853-41e3-8373-6981f3dc7a88,1.0,Term-to-Term Match,,,,,,
HorizontalSurroundings,Horizontal Surroundings,66277,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.HorizontalSurroundings,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,Horizontal Surroundings,Envelope,Attachments to the outermost horizontal surfaces of the premises.,https://bedes.lbl.gov/node/9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,1.0,Term-to-Term Match,,,,,,
VerticalSurroundings,Vertical Surroundings,66278,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.VerticalSurroundings,160cf3e7-6cd4-42a2-86c2-b239564304f9,Vertical Surroundings,Envelope,Attachments to the outermost vertical surfaces of the premises.,https://bedes.lbl.gov/node/160cf3e7-6cd4-42a2-86c2-b239564304f9,1.0,Term-to-Term Match,,,,,,
Assessments,Assessments,66279,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments,,,,,,,Words: all Word,,,,Assessments,https://bedes.lbl.gov/node/b3982f93-0868-4959-a6aa-bca5f6956947,
Assessment,Assessment,66280,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments.Assessment,,,,,,,Words: all Word,,,,Assessment,https://bedes.lbl.gov/node/b3982f93-0868-4959-a6aa-bca5f6956947,
